"","Year","Rank","DJ","Change"
"1226",2005,70,"Andy C","Down 44"
"1227",2006,69,"John Graham","New Entry"
"1228",2007,72,"Martin Solveig","Re-entry"
"1229",2008,69,"Chris Liebing","Up 5"
"1230",2009,69,"Ronski Speed","Up 28"
"1231",2010,69,"Ronski Speed","Non Mover"
"1232",2011,69,"Paul Oakenfold","Down 18"
"1233",2012,69,"Paul Oakenfold","Non Mover"
"1234",2013,69,"MOSIMANN","Up 5"
"1235",2014,69,"Cosmic Gate","Up 11"
"1236",2015,69,"Daft Punk","Down 26"
"1237",2016,69,"Robin Schulz","Up 30"
"1238",2017,69,"Claptone","New Entry"
"1239",2018,69,"Radical Redemption","Down 25"
"1240",2019,69,"Miss K8","Down 4"
"1241",2020,69,"Peggy Gou","Up 11"
"1242",2021,69,"Panta Q","New Entry"
"1243",2004,NA,NA,NA
"1244",2005,71,"Chus & Ceballos","New Entry"
"1245",2006,70,"Desyn Masiello","Down 16"
"1246",2007,73,"BT","Non Mover"
"1247",2008,70,"Erick Morillo","Down 46"
"1248",2009,70,"Sander Kleinenberg","Down 11"
"1249",2010,70,"Wolfgang Gartner","New Entry"
"1250",2011,70,"Alesso","New Entry"
"1251",2012,70,"Benny Benassi","Down 43"
"1252",2013,70,"Project 46","Up 30"
"1253",2014,70,"Diego Miranda","Up 24"
"1254",2015,70,"Umek","Up 5"
"1255",2016,70,"Dannic","Down 44"
"1256",2017,70,"Martin Jensen","Up 12"
"1257",2018,70,"Brennan Heart","Down 11"
"1258",2019,70,"3 Are Legend","New Entry"
"1259",2020,70,"Blasterjaxx","Down 34"
"1260",2021,70,"Mike Williams","Up 20"
"1261",2004,NA,NA,NA
"1262",2005,72,"John '00' Fleming","Down 20"
"1263",2006,71,"Mauro Picotto","Down 43"
"1264",2007,74,"Chris Liebing","Down 24"
"1265",2008,71,"DJ Hype","Up 11"
"1266",2009,71,"Ricardo Villalobos","Down 35"
"1267",2010,71,"W&W","New Entry"
"1268",2011,71,"Mark Knight","Down 18"
"1269",2012,71,"tyDi","Down 23"
"1270",2013,71,"Blasterjaxx","New Entry"
"1271",2014,71,"Zatox","Down 21"
"1272",2015,71,"Tenishia","Up 2"
"1273",2016,71,"Da Tweekaz","Up 8"
"1274",2017,71,"Florian Picasso","Down 33"
"1275",2018,71,"Swanky Tunes","Up 28"
"1276",2019,71,"Deadmau5","Down 12"
"1277",2020,71,"Julian Jordan","Up 22"
"1278",2021,71,"Deniz Koyu","Up 1"
"1279",2004,NA,NA,NA
"1280",2005,73,"Satoshi Tomiie","Down 25"
"1281",2006,72,"Menno De Jong","New Entry"
"1282",2007,75,"Valentino Kanzyani","New Entry"
"1283",2008,72,"Signum","New Entry 11"
"1284",2009,72,"Chuckie","New Entry"
"1285",2010,72,"Boys Noize","Down 4"
"1286",2011,72,"Sean Tyas","Down 27"
"1287",2012,72,"Mat Zo","Up 1"
"1288",2013,72,"D-Block & S-te-Fan","Down 8"
"1289",2014,72,"MOSIMANN","Down 3"
"1290",2015,72,"Radical Redemption","Down 8"
"1291",2016,72,"Daft Punk","Down 3"
"1292",2017,72,"Vini Vici","New Entry"
"1293",2018,NA,"New Entry",NA
"1294",2019,72,"Carta","Up 1"
"1295",2020,72,"Deniz Koyu","Up 9"
"1296",2021,72,"Naeleck","New Entry"
"1297",2004,NA,NA,NA
"1298",2005,74,"DJ Tatana","New Entry"
"1299",2006,73,"BT","Up 9"
"1300",2007,76,"Trentemøller","New Entry"
"1301",2008,73,"Justice","Down 15"
"1302",2009,73,"Sharam","New Entry"
"1303",2010,73,"D-Block & S-te-Fan","New Entry"
"1304",2011,73,"Mat Zo","Down 7"
"1305",2012,73,"R3hab","New Entry"
"1306",2013,73,"Dillon Francis","New Entry"
"1307",2014,73,"Tenishia","Down 8"
"1308",2015,73,"Frontliner","Down 28"
"1309",2016,73,"Will Sparks","Up 5"
"1310",2017,73,"Jauz","Up 10"
"1311",2018,73,"Carta","Up 19"
"1312",2019,73,"Carl Nunes","Up 26"
"1313",2020,73,"Nora En Pure","New Entry"
"1314",2021,73,"Brennan Heart","Up 5"
"1315",2004,NA,NA,NA
"1316",2005,75,"Astrix","New Entry"
"1317",2006,74,"Scott K","New Entry"
"1318",2007,77,"Jeff Mills ","Re-entry"
"1319",2008,74,"Dirty South","Up 24"
"1320",2009,74,"Marcel Woods","Up 9"
"1321",2010,74,"Dubfire","Down 28"
"1322",2011,74,"Lange","Down 30"
"1323",2012,74,"MOSIMANN","New Entry"
"1324",2013,74,"Dannic","New Entry"
"1325",2014,74,"Gareth Emery","Down 23"
"1326",2015,74,"Borgeous","Up 13"
"1327",2016,74,"Carl Cox","Down 11"
"1328",2017,74,"Cat Dealers","New Entry"
"1329",2018,74,"Aly & Fila","Down 21"
"1330",2019,74,"Charlotte de Witte","New Entry"
"1331",2020,74,"Kura","Down 34"
"1332",2021,74,"Kura","Non Mover"
"1333",2004,NA,NA,NA
"1334",2005,76,"Lee Burridge","Down 20"
"1335",2006,75,"Tall Paul","Down 32"
"1336",2007,78,"John Graham","Down 9"
"1337",2008,75,"Wally Lopez","Up 20"
"1338",2009,75,"Lisa Lashes","Up 2"
"1339",2010,75,"Dirty South","Down 16"
"1340",2011,75,"Joachim Garraud","Down 32"
"1341",2012,75,"Wasted Penguinz","New Entry"
"1342",2013,75,"Adaro","New Entry"
"1343",2014,75,"Umek","Up 22"
"1344",2015,75,"Netsky","Re-entry"
"1345",2016,75,"Timmy Trumpet","New Entry"
"1346",2017,75,"Sam Feldt","Up 12"
"1347",2018,75,"Ferry Corsten","Up 15"
"1348",2019,75,"Warface","Re-entry"
"1349",2020,75,"Florian Picasso","Up 23"
"1350",2021,75,"Tom & Collins","Up 2"
"1351",2004,NA,NA,NA
"1352",2005,77,"M.I.K.E","Down 15"
"1353",2006,76,"M.I.K.E","Up 1"
"1354",2007,79,"Robbie Rivera","Up 17"
"1355",2008,76,"Magda","Up 11"
"1356",2009,76,"Moonbeam","New Entry"
"1357",2010,76,"John B","Up 16"
"1358",2011,76,"Simon Patterson","Down 48"
"1359",2012,76,"Dirty South","Up 17"
"1360",2013,76,"Richie Hawtin","Up 2"
"1361",2014,76,"Tiddey","Up 8"
"1362",2015,76,"Yellow Claw","New Entry"
"1363",2016,76,"Borgore","Down 8"
"1364",2017,76,"Robin Schulz","Down 7"
"1365",2018,76,"Da Tweekaz","Down 9"
"1366",2019,76,"Cedric Gervais","Up 11"
"1367",2020,76,"
Down 13",NA
"1368",2021,76,"Mr. Pig","Up 3"
"1369",2004,NA,NA,NA
"1370",2005,78,"Lady Dana","Down 49"
"1371",2006,77,"Filo & Peri","New Entry 77"
"1372",2007,80,"The Chemical Brothers","Re-entry"
"1373",2008,77,"Lisa Lashes","Up 6"
"1374",2009,77,"Rank 1","Re-entry"
"1375",2010,77,"Daniel Kandi","Up 10"
"1376",2011,77,"Francis Davila","New Entry"
"1377",2012,77,"Andrew Rayel","New Entry"
"1378",2013,77,"Martin Solveig","Down 29"
"1379",2014,77,"Zomboy","New Entry"
"1380",2015,77,"Chuckie","Re-entry"
"1381",2016,77,"Firebeatz","Down 11"
"1382",2017,77,"Andy C","Re-entry"
"1383",2018,77,"Breathe Carolina","New Entry"
"1384",2019,77,"Yellow Claw","Down 30"
"1385",2020,77,"Tom & Collins","Up 7"
"1386",2021,77,"FISHER","Down 1"
"1387",2004,NA,NA,NA
"1388",2005,80,"Nic Fanciulli","Up 8"
"1389",2006,78,"DJ Tarkan","New Entry"
"1390",2007,81,"Luciano","New Entry"
"1391",2008,78,"Pete Tong","Down 39"
"1392",2009,78,"Sébastien Léger","Up 11"
"1393",2010,78,"Arty","New Entry"
"1394",2011,78,"Psyko Punkz","New Entry"
"1395",2012,78,"Richie Hawtin","Down 33"
"1396",2013,78,"Felguk","Up 12"
"1397",2014,78,"DJ Bl3ND","Up 13"
"1398",2015,78,"Will Sparks","New Entry"
"1399",2016,78,"Tujamo","Up 17"
"1400",2017,78,"Carnage","Up 6"
"1401",2018,78,"Deniz Koyu ",""
"1402",2019,78,"Lucas & Steve","Up 14"
"1403",2020,78,"Brennan Heart","Re-entry"
"1404",2021,78,"Virtual Riot","New Entry"
"1405",2004,NA,NA,NA
"1406",2005,81,"Rank 1","Up 10"
"1407",2006,79,"Anderson Noise","New Entry"
"1408",2007,82,"Hype","Re-entry"
"1409",2008,79,"DJ Vibe","Down 39"
"1410",2009,79,"Marcus Schossow","New Entry"
"1411",2010,79,"BT","Re-entry"
"1412",2011,79,"Dimitri Vegas & Like Mike","New Entry"
"1413",2012,79,"Frontliner","New Entry"
"1414",2013,79,"Myon & Shane 54","Up 1"
"1415",2014,79,"Orjan Nilsen","Down 30"
"1416",2015,79,"Da Tweekaz","Down 13"
"1417",2016,79,"Laidback Luke","Down 15"
"1418",2017,79,"Andrew Rayel","Down 14"
"1419",2018,79,"Adam Beyer","Re-entry"
"1420",2019,79,"Andy C","Up 11"
"1421",2020,79,"Mr Pig","New Entry"
"1422",2021,79,"D.O.D","Up 4"
"1423",2004,NA,NA,NA
"1424",2005,82,"BT","Up 10"
"1425",2006,80,"Fatboy Slim","Down 17"
"1426",2007,83,"Lisa Lashes","Up 16"
"1427",2008,80,"Bad Boy Bill","Down 42"
"1428",2009,80,"Steve Lawler","Up 11"
"1429",2010,80,"Boy George","Re-entry"
"1430",2011,80,"Wildstylez","New Entry"
"1431",2012,80,"Myon & Shane 54","Down 29"
"1432",2013,80,"Cosmic Gate","Down 41"
"1433",2014,80,"TJR","New Entry"
"1434",2015,80,"Quintino","Up 6"
"1435",2016,80,"Markus Schulz","Down 24"
"1436",2017,80,"Richie Hawtin","Re-entry"
"1437",2018,80,"Daddy's Groove","Re-entry"
"1438",2019,80,"Peggy Gou","New Entry"
"1439",2020,80,"Radical Redemption","Re-entry"
"1440",2021,80,"Plastik Funk","Up 5"
"1441",2004,NA,NA,NA
"1442",2005,83,"Anne Savage","Down 4"
"1443",2006,80,"Fergie","Down 25"
"1444",2007,84,"Filo & Peri","Down 7"
"1445",2008,81,"Tiddey","New Entry 42"
"1446",2009,81,"Skazi","Re-entry"
"1447",2010,81,"Pete Tha Zouk","New Entry"
"1448",2011,81,"Roger Sanchez","Down 17"
"1449",2012,81,"Heatbeat","New Entry"
"1450",2013,81,"Heatbeat","Non Mover"
"1451",2014,81,"3lau","New Entry"
"1452",2015,81,"Krewella","Down 48"
"1453",2016,81,"Vicetone","Down 31"
"1454",2017,81,"Solomun","New Entry"
"1455",2018,81,"Mosimann","Up 12"
"1456",2019,81,"Deniz Koyu","Down 3"
"1457",2020,81,"Rave Republic","Up 13"
"1458",2021,81,"Green Velvet","Up 5"
"1459",2004,NA,NA,NA
"1460",2005,85,"Plump DJ's","Down 32"
"1461",2006,81,"Serge Devant","New Entry"
"1462",2007,85,"Lee Burridge","Up 3"
"1463",2008,82,"Greg Downey","New Entry 42"
"1464",2009,82,"Super8 & Tab","New Entry"
"1465",2010,82,"Fatboy Slim","Up 12"
"1466",2011,82,"Hernan Cattaneo","Down 25"
"1467",2012,82,"Thomas Gold","New Entry"
"1468",2013,82,"John O'Callaghan","Re-entry"
"1469",2014,82,"Don Diablo ","New Entry"
"1470",2015,82,"ATB","Down 24"
"1471",2016,82,"Martin Jensen","New Entry"
"1472",2017,82,"Steve Angello","Down 52"
"1473",2018,82,"tchami","Up 13"
"1474",2019,82,"Robin Schulz","Down 22"
"1475",2020,82,"Pink Panda","New Entry"
"1476",2021,82,"Burak Yeter","Up 7"
"1477",2004,NA,NA,NA
"1478",2005,86,"Miss Kitten","Down 10"
"1479",2006,82,"Umek","Down 3"
"1480",2007,86,"Armand Van Helden","Re-entry"
"1481",2008,83,"Marcel Woods"," New Entry 42"
"1482",2009,83,"Pete Tong 

Down 5",NA
"1483",2010,83,"Skazi","Down 2"
"1484",2011,83,"Tritonal","New Entry"
"1485",2012,83,"Nero","Up 5"
"1486",2013,83,"Wasted Penguinz","Down 8"
"1487",2014,83,"Madeon","Down 24"
"1488",2015,83,"MAKJ","Down 21"
"1489",2016,83,"Jauz","New Entry"
"1490",2017,83,"Will Sparks","Down 10"
"1491",2018,83,"NGHTMRE","New Entry"
"1492",2019,83,"Vicetone","Re-entry"
"1493",2020,83,"D.O.D","Up 13"
"1494",2021,83,"KAAZE","New Entry"
"1495",2004,NA,NA,NA
"1496",2005,87,"Felix Da Housecat","Down 14"
"1497",2006,86,"Tallah 2XLC","New Entry"
"1498",2007,87,"Magda","Re-entry"
"1499",2008,84,"Nick Warren","Down 37"
"1500",2009,84,"Tocadisco","Up 14"
"1501",2010,84,"Paul Kalkbrenner","New Entry"
"1502",2011,84,"DJ Vibe","Up 16"
"1503",2012,84,"Roger Shah","Down 33"
"1504",2013,84,"Tiddey","Re-entry"
"1505",2014,84,"Wolfpack","New Entry"
"1506",2015,84,"Kaskade","Down 38"
"1507",2016,84,"Carnage","Up 4"
"1508",2017,84,"Mariana Bo","New Entry"
"1509",2018,84,"DJ L","Up 14"
"1510",2019,84,"Tom & Collins","New Entry"
"1511",2020,84,"Swedish House Mafia","Down 42"
"1512",2021,84,"Aryue","Up 4"
"1513",2004,NA,NA,NA
"1514",2005,88,"Christian Cambas","New Entry"
"1515",2006,87,"Ronski Speed","Re-entry"
"1516",2007,88,"Dave Seaman","Up 7"
"1517",2008,85,"Solar System","New Entry 37"
"1518",2009,85,"Sied Van Riel","New Entry"
"1519",2010,85,"Pete Tong","Down 2"
"1520",2011,85,"AN21","New Entry"
"1521",2012,85,"Feed Me","New Entry"
"1522",2013,85,"Skazi","Re-entry"
"1523",2014,85,"Mike Candys","Down 18"
"1524",2015,85,"Ferry Corsten","Up 6"
"1525",2016,85,"Netsky","Down 10"
"1526",2017,85,"Black Coffee","New Entry"
"1527",2018,85,"Wildstylez","Re-entry"
"1528",2019,85,"Boris Brejcha","New Entry"
"1529",2020,85,"Plastik Funk","New Entry"
"1530",2021,85,"Cat Dealers","Down 33"
"1531",2004,NA,NA,NA
"1532",2005,89,"Scot Project","Re-entry"
"1533",2006,88,"Lee Burridge","Down 12"
"1534",2007,89,"Victor Calderone","Down 6"
"1535",2008,86,"Skazi","New Entry 37"
"1536",2009,86,"Tiga","Re-entry"
"1537",2010,86,"Bloody Beetroots","New Entry"
"1538",2011,86,"Bloody Beetroots","Non Mover"
"1539",2012,86,"Mike Candys","New Entry"
"1540",2013,86,"Da Tweekaz","Up 13"
"1541",2014,86,"Quintino","New Entry"
"1542",2015,86,"Flux Pavilion","New Entry"
"1543",2016,86,"Carl Nunes","New Entry"
"1544",2017,86,"Dillon Francis","Down 22"
"1545",2018,86,"Marco Carola","New Entry"
"1546",2019,86,"Marco Carola","Non Mover"
"1547",2020,86,"Green Velvet","New Entry"
"1548",2021,86,"Rave Republic","Down 5"
"1549",2004,NA,NA,NA
"1550",2005,90,"Cosmic Gate","Down 9"
"1551",2006,89,"Mario Piu","Down 51"
"1552",2007,90,"Dave Clarke","Up 10"
"1553",2008,87,"Mike Koglin","New Entry 37"
"1554",2009,87,"Daniel Kandi","New Entry"
"1555",2010,86,"Bloody Beetroots","New Entry"
"1556",2011,87,"Felguk","New Entry"
"1557",2012,87,"Andy Moor","Down 37"
"1558",2013,87,"Tenashar","New Entry"
"1559",2014,87,"Borgeous","New Entry"
"1560",2015,87,"Zatox","Down 16"
"1561",2016,87,"Sam Feldt","New Entry"
"1562",2017,87,"Flume","Up 7"
"1563",2018,87,"Cedric Gervais","New Entry"
"1564",2019,87,"Paul van Dyk","Down 32"
"1565",2020,87,"Sunnery James & Ryan Marciano","New Entry"
"1566",2021,87,"Sunnery James & Ryan Marciano","Non Mover"
"1567",2004,NA,NA,NA
"1568",2005,91,"Matt Darey","New Entry"
"1569",2006,90,"Axel Karakasis","New Entry"
"1570",2007,91,"Richard Durand","New Entry"
"1571",2008,88,"Mauro Picotto","Down 54"
"1572",2009,88,"Mike Koglin","Down 1"
"1573",2010,87,"Arnej","New Entry"
"1574",2011,88,"Nero","New Entry"
"1575",2012,88,"Ran-D","New Entry"
"1576",2013,88,"Bob Sinclair","Up 6"
"1577",2014,88,"Audien","New Entry"
"1578",2015,88,"Carnage","Down 20"
"1579",2016,88,"Miss K8","Up 6"
"1580",2017,88,"Shogun","Down 46"
"1581",2018,88,"MaRLo","Re-entry"
"1582",2019,88,"Solardo","New Entry"
"1583",2020,88,"Aryue","New Entry"
"1584",2021,88,"MaRLo","Re-entry"
"1585",2004,NA,NA,NA
"1586",2005,92,"DJ Sammy","New Entry"
"1587",2006,91,"Steve Porter","New Entry"
"1588",2007,92,"Westbam","New Entry"
"1589",2008,89,"Sébastien Léger","Up 4"
"1590",2009,89,"Luciano","Re-entry"
"1591",2010,88,"Joris Voorn","New Entry"
"1592",2011,89,"Juanjo Martin","New Entry"
"1593",2012,89,"Richard Durand","Down 30"
"1594",2013,89,"Benny Benassi","Down 19"
"1595",2014,89,"Boy George","Re-entry"
"1596",2015,89,"Robin Schulz","New Entry"
"1597",2016,89,"Jay Hardway","New Entry"
"1598",2017,89,"Alison Wonderland","New Entry"
"1599",2018,89,"Deorro","Re-entry"
"1600",2019,89,"Thomas Gold","Re-entry"
"1601",2020,89,"Burak Yeter","New Entry"
"1602",2021,89,"Tungevaag","Up 3"
"1603",2004,NA,NA,NA
"1604",2005,93,"Proteus","Down 3"
"1605",2006,92,"Yoji Biomehanika","Down 60"
"1606",2007,93,"Sébastien Léger","New Entry"
"1607",2008,90,"The Chemical Brothers","Down 10"
"1608",2009,90,"Yahel","Down 34"
"1609",2010,89,"Dada Life","New Entry"
"1610",2011,90,"Boy George","Down 10"
"1611",2012,90,"Felguk","Down 3"
"1612",2013,90,"Stafford Brothers","New Entry"
"1613",2014,90,"Richie Hawtin","Down 14"
"1614",2015,90,"Sander Van Doorn","Down 39"
"1615",2016,90,"Porter Robinson","Down 35"
"1616",2017,90,"Ferry Corsten","Up 9"
"1617",2018,90,"Andy C","Down 13"
"1618",2019,90,"Black Coffee","Re-entry"
"1619",2020,90,"Mike Williams","Down 36"
"1620",2021,90,"Giftback","New Entry"
"1621",2004,NA,NA,NA
"1622",2005,94,"DJ Luna","Down 33"
"1623",2006,NA,"New Entry",NA
"1624",2007,94,"Chus & Ceballos","Re-entry"
"1625",2008,91,"Steve Lawler","Down 49"
"1626",2009,91,"Myon & Shane 54","New Entry"
"1627",2010,90,"Noisecontrollers","New Entry"
"1628",2011,91,"Tenishia","New Entry"
"1629",2012,91,"Paul Kalkbrenner","Down 29"
"1630",2013,91,"Bl3nd","New Entry"
"1631",2014,91,"Ferry Corsten","Down 49"
"1632",2015,91,"MaRLo","New Entry"
"1633",2016,91,"Bobina","Re-entry"
"1634",2017,91,"Maceo Plex","New Entry"
"1635",2018,91,"Solomun","Down 10"
"1636",2019,91,"Paul Kalkbrenner","Up 4"
"1637",2020,91,"Black Coffee","Down 1"
"1638",2021,91,"Christina Novelli","New Entry"
"1639",2004,NA,NA,NA
"1640",2005,95,"Moshic","New Entry"
"1641",2006,94,"Stanton Warriors","Re-entry"
"1642",2007,95,"Wally Lopez","New Entry"
"1643",2008,92,"Fatboy Slim","Down 26"
"1644",2009,92,"John B","New Entry"
"1645",2010,91,"Showtek","Non Mover"
"1646",2011,92,"Sidney Samson","New Entry"
"1647",2012,92,"Moonbeam","Down 27"
"1648",2013,92,"Paul Oakenfold","Down 23"
"1649",2014,92,"Code Black","New Entry"
"1650",2015,92,"Andy C","Re-entry"
"1651",2016,92,"Zatox","Down 5"
"1652",2017,92,"Carta","New Entry"
"1653",2018,92,"Lucas & Steve","Down 28"
"1654",2019,92,"Daddy's Groove","Down 12"
"1655",2020,92,"Tungevaag","New Entry"
"1656",2021,92,"22Bullets","Up 6"
"1657",2004,NA,NA,NA
"1658",2005,96,"Max Graham","Down 32"
"1659",2006,95,"Dave Seaman","Down 26"
"1660",2007,97,"Adam Beyer","Re-entry"
"1661",2008,93,"Solarstone","New Entry 26"
"1662",2009,93,"Simon Posford","New Entry"
"1663",2010,92,"Laurent Wolf","Down 26"
"1664",2011,93,"Dirty South","Down 18"
"1665",2012,93,"Sean Tyas","Down 21"
"1666",2013,93,"Mat Zo","Down 21"
"1667",2014,93,"Heatbeat","Down 8"
"1668",2015,93,"MOSIMANN"," Down 22"
"1669",2016,93,"Dyro","Down 66"
"1670",2017,93,"MOSIMANN","Re-entry"
"1671",2018,93,"Markus Schulz","Re-entry"
"1672",2019,93,"Julian Jordan","Re-entry"
"1673",2020,93,"Deborah De Luca","New Entry"
"1674",2021,93,"KAKA","New Entry"
"1675",2004,NA,NA,NA
"1676",2005,97,"DJ Amadeus","New Entry"
"1677",2006,96,"Robbie Rivera","New Entry"
"1678",2007,99,"Erol Alkan","New Entry"
"1679",2008,94,"Astral Projection","New Entry 26"
"1680",2009,94,"Fatboy Slim","Down 2"
"1681",2010,93,"Claudia Cazacu","New Entry"
"1682",2011,94,"James Zabiela","Down 45"
"1683",2012,94,"Bob Sinclair","Down 61"
"1684",2013,94,"Diego Miranda","New Entry"
"1685",2014,94,"Merk & Kremont","New Entry"
"1686",2015,94,"Miss K8","New Entry"
"1687",2016,94,"Flume","New Entry"
"1688",2017,94,"Julian Jordan","New Entry"
"1689",2018,94,"Bobina","Re-entry"
"1690",2019,94,"Rave Republic","Up 4"
"1691",2020,94,"Mike Perry","New Entry"
"1692",2021,94,"Blastoyz","Up 3"
"1693",2004,NA,NA,NA
"1694",2005,98,"Gigi D'Agostino","Re-entry"
"1695",2006,97,"Andy C","Down 27"
"1696",2007,100,"Laurent Garnier","Re-entry"
"1697",2008,95,"Leon Bolier","New Entry 26"
"1698",2009,95,"Robbie Rivera","Re-entry"
"1699",2010,94,"Calvin Harris","New Entry"
"1700",2011,95,"Marcel Woods","Down 32"
"1701",2012,95,"Netsky","New Entry"
"1702",2013,95,"DJs From Mars","New Entry"
"1703",2014,95,"Wildstylez","Down 39"
"1704",2015,95,"Tujamo","New Entry"
"1705",2016,95,"Infected Mushroom","Re-entry"
"1706",2017,95,"tchami","Re-entry"
"1707",2018,95,"Paul Kalkbrenner","Up 2"
"1708",2019,95,"Sub Zero Project","New Entry"
"1709",2020,95,"ANNA","New Entry"
"1710",2021,95,"Florian Picasso","Down 20"
"1711",2004,NA,NA,NA
"1712",2005,99,"Marco Bailey","Down 3"
"1713",2006,98,"Agnelli & Nelson","New Entry"
"1714",2007,NA,NA,NA
"1715",2008,96,"Nic Fanciulli","Down 51"
"1716",2009,96,"Antoine Clamaran","New Entry"
"1717",2010,95,"Luciano","Down 6"
"1718",2011,96,"Porter Robinson","New Entry"
"1719",2012,96,"Neelix","New Entry"
"1720",2013,96,"Matt Darey","Re-entry"
"1721",2014,96,"Bingo Players","Down 44"
"1722",2015,96,"Mike Candys","Down 12"
"1723",2016,96,"Showtek","Down 59"
"1724",2017,96,"Porter Robinson","Down 6"
"1725",2018,96,"Alison Wonderland","Down 7"
"1726",2019,96,"D.O.D","New Entry"
"1727",2020,96,"Dimitri Vangelis & Wyman","New Entry"
"1728",2021,96,"Luminn","New Entry"
"1729",2004,NA,NA,NA
"1730",2005,100,"Magda","New Entry"
"1731",2006,99,"Lisa Lashes","Down 43"
"1732",2007,NA,NA,NA
"1733",2008,97,"Ronski Speed","Down 53"
"1734",2009,97,"Nic Fanciulli","Down 1"
"1735",2010,96,"Marcus Schossow","Down 17"
"1736",2011,97,"Sven Väth","Down 39"
"1737",2012,97,"Mark Knight","Down 27"
"1738",2013,97,"Umek","Down 38"
"1739",2014,97,"The Chainsmokers","New Entry"
"1740",2015,97,"Swanky Tunes","New Entry"
"1741",2016,97,"Daddy's Groove","New Entry"
"1742",2017,97,"Paul Kalkbrenner","Re-entry"
"1743",2018,97,"Nina Kraviz","New Entry"
"1744",2019,97,"Henri PFR","New Entry"
"1745",2020,97,"Blastoyz","New Entry"
"1746",2021,97,"Alexso","New Entry"
"1747",2004,NA,NA,NA
"1748",2005,NA,NA,NA
"1749",2006,100,"Dave Clarke","Down 64"
"1750",2007,NA,NA,NA
"1751",2008,98,"Tocadisco","New Entry 53"
"1752",2009,98,"Gui Boratto","New Entry"
"1753",2010,97,"Sied Van Riel","Down 12"
"1754",2011,98,"Brennan Heart","New Entry"
"1755",2012,98,"John Digweed","Down 43"
"1756",2013,98,"Solarstone","Re-entry"
"1757",2014,98,"John O'Callaghan","Down 16"
"1758",2015,98,"Galantis","New Entry"
"1759",2016,98,"Martin Solveig","Re-entry"
"1760",2017,98,"DJ L","New Entry"
"1761",2018,98,"Rave Republic","New Entry"
"1762",2019,98,"Florian Picasso","Down 36"
"1763",2020,98,"22Bullets","New Entry"
"1764",2021,98,"Daddy’s Groove","Re-entry"
"1765",2004,NA,NA,NA
"1766",2005,NA,NA,NA
"1767",2006,NA,NA,NA
"1768",2007,NA,NA,NA
"1769",2008,99,"Booka Shade","Down 3"
"1770",2009,99,"Alex M.O.R.P.H.","New Entry"
"1771",2010,98,"The Thrillseekers","Down 41"
"1772",2011,99,"Leon Bolier","Down 31"
"1773",2012,99,"Da Tweekaz","New Entry"
"1774",2013,99,"Ummet Ozcan","New Entry"
"1775",2014,99,"Arty","Down 42"
"1776",2015,99,"Cosmic Gate","Down 30"
"1777",2016,99,"Ferry Corsten","Down 14"
"1778",2017,99,"Swanky Tunes","Down 72"
"1779",2018,99,"Carl Nunes","Down 36"
"1780",2019,99,"Swanky Tunes","Down 28"
"1781",2020,99,"Robin Schulz","Down 17"
"1782",2021,99,"Dexter King","New Entry"
"1783",2004,NA,NA,NA
"1784",2005,NA,NA,NA
"1785",2006,NA,NA,NA
"1786",2007,NA,NA,NA
"1787",2008,100,"Alex Morph & Woody Van Eyden","New Entry 3"
"1788",2009,100,"Andy C","Down 50"
"1789",2010,99,"Justice","Down 34"
"1790",2011,100,"Boys Noize","Down 28"
"1791",2012,100,"Project 46","New Entry"
"1792",2013,100,"Ran-D","Down 12"
"1793",2014,100,"Felguk","Down 22"
"1794",2015,100,"Knife Party","Down 47"
"1795",2016,100,"DJ Feel","Re-entry"
"1796",2017,100,"Disclosure","Re-entry"
"1797",2018,100,"SLANDER","New Entry"
"1798",2019,100,"Solomun","Down 9"
"1799",2020,NA,"Marco Carola","Down 14"
"1800",2021,100,"VIZE","New Entry"
